,LA_code,LA_name,GI_code,GI_categories,Religion_code,Religion_categories,Observation,Group_Percentages_No religion,Total_LA_counts,No religion_%,Religion_code_Christian,Religion_categories_Christian,Observation_Christian,Group_Percentages_Christian,Total_LA_counts_Christian,Christian_%,Religion_code_Muslim,Religion_categories_Muslim,Observation_Muslim,Group_Percentages_Muslim,Total_LA_counts_Muslim,Muslim_%,Religion_code_Other,Religion_categories_Other,Observation_Other,Group_Percentages_Other,Total_LA_counts_Other,Other_%,Religion_code_Buddhist,Religion_categories_Buddhist,Observation_Buddhist,Group_Percentages_Buddhist,Total_LA_counts_Buddhist,Buddhist_%,Religion_code_Jewish,Religion_categories_Jewish,Observation_Jewish,Group_Percentages_Jewish,Total_LA_counts_Jewish,Jewish_%,Religion_code_Hindu,Religion_categories_Hindu,Observation_Hindu,Group_Percentages_Hindu,Total_LA_counts_Hindu,Hindu_%,Religion_code_Sikh,Religion_categories_Sikh,Observation_Sikh,Group_Percentages_Sikh,Total_LA_counts_Sikh,Sikh_%
10,E06000011,East Riding of Yorkshire,3,Not answered,1,No religion,3213,1.18,271356,38.52,2,Christian,5196,1.91,271356,59.82999999999999,6,Muslim,86,0.03,271356,0.52,8,Other religion,68,0.03,271356,0.44000000000000006,3,Buddhist,54,0.02,271356,0.30000000000000004,5,Jewish,6,0.0,271356,0.44000000000000006,4,Hindu,33,0.01,271356,0.44000000000000006,7,Sikh,9,0.0,271356,0.44000000000000006
11,E06000012,North East Lincolnshire,3,Not answered,1,No religion,1737,1.44,120239,45.059999999999995,2,Christian,2199,1.83,120239,52.599999999999994,6,Muslim,103,0.09,120239,1.07,8,Other religion,50,0.04,120239,0.51,3,Buddhist,22,0.02,120239,0.32,5,Jewish,2,0.0,120239,0.51,4,Hindu,23,0.02,120239,0.51,7,Sikh,14,0.01,120239,0.51
12,E06000013,North Lincolnshire,3,Not answered,1,No religion,1667,1.26,131828,37.78,2,Christian,2861,2.17,131828,58.72,6,Muslim,222,0.17,131828,2.17,8,Other religion,44,0.03,131828,0.42000000000000004,3,Buddhist,23,0.02,131828,0.28,5,Jewish,2,0.0,131828,0.42000000000000004,4,Hindu,29,0.02,131828,0.42000000000000004,7,Sikh,24,0.02,131828,0.42000000000000004
13,E06000014,York,3,Not answered,1,No religion,2190,1.37,160299,47.699999999999996,2,Christian,2285,1.43,160299,49.010000000000005,6,Muslim,88,0.05,160299,1.1700000000000002,8,Other religion,88,0.05,160299,0.7300000000000001,3,Buddhist,35,0.02,160299,0.6,5,Jewish,11,0.01,160299,0.7300000000000001,4,Hindu,47,0.03,160299,0.7300000000000001,7,Sikh,5,0.0,160299,0.7300000000000001
14,E06000015,Derby,3,Not answered,1,No religion,2693,1.37,195975,37.62,2,Christian,4110,2.1,195975,46.03,6,Muslim,1873,0.96,195975,10.02,8,Other religion,82,0.04,195975,0.6100000000000001,3,Buddhist,44,0.02,195975,0.38,5,Jewish,5,0.0,195975,0.6100000000000001,4,Hindu,150,0.08,195975,0.6100000000000001,7,Sikh,394,0.2,195975,0.6100000000000001
15,E06000016,Leicester,3,Not answered,1,No religion,3202,1.17,274435,24.310000000000002,2,Christian,4668,1.7,274435,27.95,6,Muslim,5137,1.87,274435,21.92,8,Other religion,141,0.05,274435,0.67,3,Buddhist,82,0.03,274435,0.38,5,Jewish,12,0.0,274435,0.67,4,Hindu,4370,1.59,274435,0.67,7,Sikh,942,0.34,274435,0.67
16,E06000017,Rutland,3,Not answered,1,No religion,396,1.22,32550,37.02,2,Christian,564,1.73,32550,60.77,6,Muslim,22,0.07,32550,0.6599999999999999,8,Other religion,15,0.05,32550,0.6000000000000001,3,Buddhist,9,0.03,32550,0.39,5,Jewish,2,0.01,32550,0.6000000000000001,4,Hindu,3,0.01,32550,0.6000000000000001,7,Sikh,1,0.0,32550,0.6000000000000001
17,E06000018,Nottingham,3,Not answered,1,No religion,3880,1.59,243853,44.63,2,Christian,4300,1.76,243853,39.23,6,Muslim,2222,0.91,243853,11.06,8,Other religion,179,0.07,243853,0.8400000000000001,3,Buddhist,88,0.04,243853,0.63,5,Jewish,19,0.01,243853,0.8400000000000001,4,Hindu,193,0.08,243853,0.8400000000000001,7,Sikh,161,0.07,243853,0.8400000000000001
18,E06000019,Herefordshire,3,Not answered,1,No religion,2123,1.45,146667,37.13,2,Christian,3564,2.43,146667,61.16,6,Muslim,51,0.03,146667,0.38,8,Other religion,77,0.05,146667,0.5800000000000001,3,Buddhist,32,0.02,146667,0.4,5,Jewish,6,0.0,146667,0.5800000000000001,4,Hindu,15,0.01,146667,0.5800000000000001,7,Sikh,6,0.0,146667,0.5800000000000001
19,E06000020,Telford and Wrekin,3,Not answered,1,No religion,1769,1.26,140400,40.29,2,Christian,2767,1.97,140400,54.01,6,Muslim,327,0.23,140400,2.33,8,Other religion,58,0.04,140400,0.6000000000000001,3,Buddhist,47,0.03,140400,0.37,5,Jewish,4,0.0,140400,0.6000000000000001,4,Hindu,60,0.04,140400,0.6000000000000001,7,Sikh,117,0.08,140400,0.6000000000000001
20,E06000021,Stoke-on-Trent,3,Not answered,1,No religion,2654,1.37,194226,37.62,2,Christian,4723,2.43,194226,52.739999999999995,6,Muslim,1401,0.72,194226,7.8999999999999995,8,Other religion,58,0.03,194226,0.56,3,Buddhist,48,0.02,194226,0.35000000000000003,5,Jewish,3,0.0,194226,0.56,4,Hindu,69,0.04,194226,0.56,7,Sikh,34,0.02,194226,0.56
21,E06000022,Bath and North East Somerset,3,Not answered,1,No religion,2160,1.44,150324,49.559999999999995,2,Christian,2112,1.4,150324,47.36,6,Muslim,77,0.05,150324,0.9700000000000001,8,Other religion,65,0.04,150324,0.6900000000000001,3,Buddhist,38,0.03,150324,0.63,5,Jewish,16,0.01,150324,0.6900000000000001,4,Hindu,14,0.01,150324,0.6900000000000001,7,Sikh,3,0.0,150324,0.6900000000000001
22,E06000023,Bristol,3,Not answered,1,No religion,6562,1.81,363239,54.720000000000006,2,Christian,5190,1.43,363239,36.43,6,Muslim,1702,0.47,363239,5.67,8,Other religion,255,0.07,363239,0.9100000000000001,3,Buddhist,126,0.03,363239,0.6900000000000001,5,Jewish,49,0.01,363239,0.9100000000000001,4,Hindu,146,0.04,363239,0.9100000000000001,7,Sikh,90,0.02,363239,0.9100000000000001
23,E06000024,North Somerset,3,Not answered,1,No religion,2273,1.35,167799,45.080000000000005,2,Christian,2884,1.72,167799,52.94,6,Muslim,74,0.04,167799,0.5700000000000001,8,Other religion,65,0.04,167799,0.66,3,Buddhist,44,0.03,167799,0.38,5,Jewish,9,0.01,167799,0.66,4,Hindu,16,0.01,167799,0.66,7,Sikh,7,0.0,167799,0.66
24,E06000025,South Gloucestershire,3,Not answered,1,No religion,2753,1.23,223539,46.49,2,Christian,3399,1.52,223539,49.730000000000004,6,Muslim,176,0.08,223539,1.4700000000000002,8,Other religion,96,0.04,223539,0.55,3,Buddhist,39,0.02,223539,0.43,5,Jewish,5,0.0,223539,0.55,4,Hindu,93,0.04,223539,0.55,7,Sikh,38,0.02,223539,0.55
25,E06000026,Plymouth,3,Not answered,1,No religion,2899,1.41,205845,48.81999999999999,2,Christian,3062,1.49,205845,48.42,6,Muslim,199,0.1,205845,1.1700000000000002,8,Other religion,93,0.05,205845,0.7000000000000001,3,Buddhist,66,0.03,205845,0.44999999999999996,5,Jewish,6,0.0,205845,0.7000000000000001,4,Hindu,22,0.01,205845,0.7000000000000001,7,Sikh,2,0.0,205845,0.7000000000000001
26,E06000027,Torbay,3,Not answered,1,No religion,1500,1.37,109717,42.53,2,Christian,2121,1.93,109717,55.29,6,Muslim,34,0.03,109717,0.54,8,Other religion,58,0.05,109717,0.8300000000000001,3,Buddhist,17,0.02,109717,0.47000000000000003,5,Jewish,8,0.01,109717,0.8300000000000001,4,Hindu,8,0.01,109717,0.8300000000000001,7,Sikh,2,0.0,109717,0.8300000000000001
27,E06000030,Swindon,3,Not answered,1,No religion,2123,1.2,176963,40.79,2,Christian,3648,2.06,176963,52.03,6,Muslim,370,0.21,176963,2.4,8,Other religion,82,0.05,176963,0.79,3,Buddhist,63,0.04,176963,0.8400000000000001,5,Jewish,9,0.01,176963,0.79,4,Hindu,268,0.15,176963,0.79,7,Sikh,50,0.03,176963,0.79
28,E06000031,Peterborough,3,Not answered,1,No religion,2026,1.28,157962,33.39,2,Christian,3790,2.4,157962,52.059999999999995,6,Muslim,1504,0.95,157962,11.03,8,Other religion,88,0.06,157962,0.5700000000000001,3,Buddhist,29,0.02,157962,0.35000000000000003,5,Jewish,8,0.01,157962,0.5700000000000001,4,Hindu,207,0.13,157962,0.5700000000000001,7,Sikh,48,0.03,157962,0.5700000000000001
29,E06000032,Luton,3,Not answered,1,No religion,1471,0.91,162205,19.470000000000002,2,Christian,3488,2.15,162205,43.58,6,Muslim,4529,2.79,162205,30.58,8,Other religion,85,0.05,162205,0.6100000000000001,3,Buddhist,36,0.02,162205,0.35000000000000003,5,Jewish,37,0.02,162205,0.6100000000000001,4,Hindu,439,0.27,162205,0.6100000000000001,7,Sikh,166,0.1,162205,0.6100000000000001
30,E06000033,Southend-on-Sea,3,Not answered,1,No religion,1866,1.35,137859,45.09,2,Christian,2223,1.61,137859,48.3,6,Muslim,248,0.18,137859,2.69,8,Other religion,55,0.04,137859,0.75,3,Buddhist,36,0.03,137859,0.62,5,Jewish,61,0.04,137859,0.75,4,Hindu,99,0.07,137859,0.75,7,Sikh,8,0.01,137859,0.75
31,E06000034,Thurrock,3,Not answered,1,No religion,1355,1.05,129449,34.739999999999995,2,Christian,2836,2.19,129449,57.13999999999999,6,Muslim,364,0.28,129449,4.32,8,Other religion,68,0.05,129449,0.6100000000000001,3,Buddhist,39,0.03,129449,0.44999999999999996,5,Jewish,10,0.01,129449,0.6100000000000001,4,Hindu,102,0.08,129449,0.6100000000000001,7,Sikh,97,0.07,129449,0.6100000000000001
32,E06000035,Medway,3,Not answered,1,No religion,2590,1.23,210700,42.66,2,Christian,3399,1.61,210700,50.72,6,Muslim,393,0.19,210700,2.53,8,Other religion,102,0.05,210700,0.7400000000000001,3,Buddhist,45,0.02,210700,0.43000000000000005,5,Jewish,18,0.01,210700,0.7400000000000001,4,Hindu,160,0.08,210700,0.7400000000000001,7,Sikh,174,0.08,210700,0.7400000000000001
33,E06000036,Bracknell Forest,3,Not answered,1,No religion,1008,1.07,94542,41.18,2,Christian,1337,1.41,94542,52.059999999999995,6,Muslim,113,0.12,94542,1.69,8,Other religion,48,0.05,94542,0.7000000000000001,3,Buddhist,57,0.06,94542,0.9299999999999999,5,Jewish,3,0.0,94542,0.7000000000000001,4,Hindu,168,0.18,94542,0.7000000000000001,7,Sikh,28,0.03,94542,0.7000000000000001
34,E06000037,West Berkshire,3,Not answered,1,No religion,1340,1.09,123267,41.4,2,Christian,1814,1.47,123267,54.879999999999995,6,Muslim,108,0.09,123267,1.1400000000000001,8,Other religion,51,0.04,123267,0.53,3,Buddhist,20,0.02,123267,0.42000000000000004,5,Jewish,8,0.01,123267,0.53,4,Hindu,84,0.07,123267,0.53,7,Sikh,13,0.01,123267,0.53
35,E06000038,Reading,3,Not answered,1,No religion,1680,1.28,131656,38.839999999999996,2,Christian,2378,1.81,131656,44.330000000000005,6,Muslim,745,0.57,131656,8.08,8,Other religion,73,0.06,131656,0.8700000000000001,3,Buddhist,171,0.13,131656,1.94,5,Jewish,10,0.01,131656,0.8700000000000001,4,Hindu,401,0.3,131656,0.8700000000000001,7,Sikh,49,0.04,131656,0.8700000000000001
36,E06000039,Slough,3,Not answered,1,No religion,792,0.7,112512,14.209999999999999,2,Christian,2386,2.12,112512,36.28,6,Muslim,2527,2.25,112512,27.75,8,Other religion,64,0.06,112512,0.52,3,Buddhist,44,0.04,112512,0.5700000000000001,5,Jewish,3,0.0,112512,0.52,4,Hindu,588,0.52,112512,0.52,7,Sikh,734,0.65,112512,0.52
37,E06000040,Windsor and Maidenhead,3,Not answered,1,No religion,1142,0.98,116453,32.449999999999996,2,Christian,1981,1.7,116453,54.77,6,Muslim,416,0.36,116453,5.180000000000001,8,Other religion,37,0.03,116453,0.52,3,Buddhist,29,0.02,116453,0.64,5,Jewish,7,0.01,116453,0.52,4,Hindu,141,0.12,116453,0.52,7,Sikh,174,0.15,116453,0.52
38,E06000041,Wokingham,3,Not answered,1,No religion,1323,1.0,132879,38.05,2,Christian,1670,1.26,132879,50.169999999999995,6,Muslim,457,0.34,132879,4.27,8,Other religion,48,0.04,132879,0.51,3,Buddhist,39,0.03,132879,0.5700000000000001,5,Jewish,24,0.02,132879,0.51,4,Hindu,275,0.21,132879,0.51,7,Sikh,90,0.07,132879,0.51
39,E06000042,Milton Keynes,3,Not answered,1,No religion,2644,1.25,212327,39.21,2,Christian,3803,1.79,212327,47.88999999999999,6,Muslim,1020,0.48,212327,6.41,8,Other religion,122,0.06,212327,0.6599999999999999,3,Buddhist,49,0.02,212327,0.5700000000000001,5,Jewish,13,0.01,212327,0.6599999999999999,4,Hindu,560,0.26,212327,0.6599999999999999,7,Sikh,78,0.04,212327,0.6599999999999999
40,E06000043,Brighton and Hove,3,Not answered,1,No religion,4055,1.85,218809,58.33,2,Christian,2464,1.13,218809,34.47,6,Muslim,370,0.17,218809,2.93,8,Other religion,233,0.11,218809,1.2400000000000002,3,Buddhist,129,0.06,218809,1.06,5,Jewish,63,0.03,218809,1.2400000000000002,4,Hindu,91,0.04,218809,1.2400000000000002,7,Sikh,13,0.01,218809,1.2400000000000002
41,E06000044,Portsmouth,3,Not answered,1,No religion,2268,1.42,159639,48.25000000000001,2,Christian,2418,1.51,159639,44.76,6,Muslim,566,0.35,159639,4.43,8,Other religion,75,0.05,159639,0.7500000000000001,3,Buddhist,57,0.04,159639,0.63,5,Jewish,3,0.0,159639,0.7500000000000001,4,Hindu,64,0.04,159639,0.7500000000000001,7,Sikh,34,0.02,159639,0.7500000000000001
42,E06000045,Southampton,3,Not answered,1,No religion,2914,1.53,190736,45.55,2,Christian,3396,1.78,190736,44.96,6,Muslim,724,0.38,190736,4.82,8,Other religion,114,0.06,190736,0.81,3,Buddhist,58,0.03,190736,0.66,5,Jewish,14,0.01,190736,0.81,4,Hindu,147,0.08,190736,0.81,7,Sikh,179,0.09,190736,0.81
43,E06000046,Isle of Wight,3,Not answered,1,No religion,1703,1.52,111985,43.550000000000004,2,Christian,2230,1.99,111985,54.33,6,Muslim,41,0.04,111985,0.42,8,Other religion,66,0.06,111985,0.94,3,Buddhist,24,0.02,111985,0.43000000000000005,5,Jewish,7,0.01,111985,0.94,4,Hindu,5,0.0,111985,0.94,7,Sikh,1,0.0,111985,0.94
44,E06000047,County Durham,3,Not answered,1,No religion,4337,1.05,411845,37.72,2,Christian,6571,1.6,411845,60.53,6,Muslim,122,0.03,411845,0.53,8,Other religion,119,0.03,411845,0.51,3,Buddhist,49,0.01,411845,0.29000000000000004,5,Jewish,11,0.0,411845,0.51,4,Hindu,51,0.01,411845,0.51,7,Sikh,19,0.0,411845,0.51
45,E06000049,Cheshire East,3,Not answered,1,No religion,3334,1.07,312052,37.26,2,Christian,5284,1.69,312052,60.12,6,Muslim,220,0.07,312052,0.97,8,Other religion,95,0.03,312052,0.47,3,Buddhist,64,0.02,312052,0.38,5,Jewish,9,0.0,312052,0.47,4,Hindu,55,0.02,312052,0.47,7,Sikh,10,0.0,312052,0.47
46,E06000050,Cheshire West and Chester,3,Not answered,1,No religion,2843,1.02,279559,37.580000000000005,2,Christian,4381,1.57,279559,60.2,6,Muslim,192,0.07,279559,0.8800000000000001,8,Other religion,81,0.03,279559,0.41000000000000003,3,Buddhist,52,0.02,279559,0.35000000000000003,5,Jewish,10,0.0,279559,0.41000000000000003,4,Hindu,51,0.02,279559,0.41000000000000003,7,Sikh,16,0.01,279559,0.41000000000000003
47,E06000051,Shropshire,3,Not answered,1,No religion,3748,1.46,257095,36.75,2,Christian,5882,2.29,257095,61.38999999999999,6,Muslim,92,0.04,257095,0.53,8,Other religion,92,0.04,257095,0.54,3,Buddhist,35,0.01,257095,0.31,5,Jewish,13,0.01,257095,0.54,4,Hindu,13,0.01,257095,0.54,7,Sikh,42,0.02,257095,0.54
48,E06000052,Cornwall,3,Not answered,1,No religion,7240,1.62,446682,46.24999999999999,2,Christian,8039,1.8,446682,51.94,6,Muslim,70,0.02,446682,0.21,8,Other religion,284,0.06,446682,0.9199999999999999,3,Buddhist,172,0.04,446682,0.43,5,Jewish,27,0.01,446682,0.9199999999999999,4,Hindu,27,0.01,446682,0.9199999999999999,7,Sikh,13,0.0,446682,0.9199999999999999
49,E06000053,Isles of Scilly,3,Not answered,1,No religion,20,1.23,1625,46.16,2,Christian,23,1.42,1625,53.11000000000001,6,Muslim,0,0.0,1625,0.0,8,Other religion,0,0.0,1625,0.43,3,Buddhist,0,0.0,1625,0.18,5,Jewish,0,0.0,1625,0.43,4,Hindu,0,0.0,1625,0.43,7,Sikh,0,0.0,1625,0.43
50,E06000054,Wiltshire,3,Not answered,1,No religion,4511,1.14,394848,41.39,2,Christian,6404,1.62,394848,55.94,6,Muslim,172,0.04,394848,0.62,8,Other religion,208,0.05,394848,0.76,3,Buddhist,117,0.03,394848,0.56,5,Jewish,8,0.0,394848,0.76,4,Hindu,156,0.04,394848,0.76,7,Sikh,29,0.01,394848,0.76
51,E06000055,Bedford,3,Not answered,1,No religion,1395,1.0,139753,34.86,2,Christian,2718,1.94,139753,53.029999999999994,6,Muslim,682,0.49,139753,6.25,8,Other religion,94,0.07,139753,1.24,3,Buddhist,26,0.02,139753,0.39,5,Jewish,6,0.0,139753,1.24,4,Hindu,100,0.07,139753,1.24,7,Sikh,186,0.13,139753,1.24
52,E06000056,Central Bedfordshire,3,Not answered,1,No religion,2522,1.12,224351,42.629999999999995,2,Christian,3592,1.6,224351,53.43000000000001,6,Muslim,149,0.07,224351,1.2000000000000002,8,Other religion,87,0.04,224351,0.55,3,Buddhist,46,0.02,224351,0.38,5,Jewish,13,0.01,224351,0.55,4,Hindu,100,0.04,224351,0.55,7,Sikh,33,0.01,224351,0.55
53,E06000057,Northumberland,3,Not answered,1,No religion,2777,1.09,255652,39.11000000000001,2,Christian,3953,1.55,255652,59.26,6,Muslim,84,0.03,255652,0.47,8,Other religion,74,0.03,255652,0.49,3,Buddhist,43,0.02,255652,0.28,5,Jewish,13,0.01,255652,0.49,4,Hindu,11,0.0,255652,0.49,7,Sikh,26,0.01,255652,0.49
54,E06000058,"Bournemouth, Christchurch and Poole",3,Not answered,1,No religion,4269,1.37,312265,43.57,2,Christian,5259,1.68,312265,52.2,6,Muslim,391,0.13,312265,1.52,8,Other religion,230,0.07,312265,0.8700000000000001,3,Buddhist,99,0.03,312265,0.61,5,Jewish,52,0.02,312265,0.8700000000000001,4,Hindu,102,0.03,312265,0.8700000000000001,7,Sikh,11,0.0,312265,0.8700000000000001
55,E06000059,Dorset,3,Not answered,1,No religion,3662,1.21,301812,39.98,2,Christian,5625,1.86,301812,58.040000000000006,6,Muslim,75,0.02,301812,0.37,8,Other religion,118,0.04,301812,0.7300000000000001,3,Buddhist,74,0.02,301812,0.48000000000000004,5,Jewish,20,0.01,301812,0.7300000000000001,4,Hindu,29,0.01,301812,0.7300000000000001,7,Sikh,10,0.0,301812,0.7300000000000001
56,E06000060,Buckinghamshire,3,Not answered,1,No religion,4443,1.06,417584,35.26,2,Christian,6611,1.58,417584,52.75,6,Muslim,2299,0.55,417584,6.359999999999999,8,Other religion,162,0.04,417584,0.54,3,Buddhist,120,0.03,417584,0.5800000000000001,5,Jewish,29,0.01,417584,0.54,4,Hindu,576,0.14,417584,0.54,7,Sikh,254,0.06,417584,0.54
57,E06000061,North Northamptonshire,3,Not answered,1,No religion,3713,1.36,273304,42.38,2,Christian,5624,2.06,273304,53.580000000000005,6,Muslim,233,0.09,273304,1.09,8,Other religion,155,0.06,273304,0.6400000000000001,3,Buddhist,44,0.02,273304,0.36000000000000004,5,Jewish,11,0.0,273304,0.6400000000000001,4,Hindu,286,0.1,273304,0.6400000000000001,7,Sikh,92,0.03,273304,0.6400000000000001
58,E06000062,West Northamptonshire,3,Not answered,1,No religion,3894,1.21,322892,38.730000000000004,2,Christian,7248,2.24,322892,55.18000000000001,6,Muslim,731,0.23,322892,3.09,8,Other religion,182,0.06,322892,0.6699999999999999,3,Buddhist,91,0.03,322892,0.43000000000000005,5,Jewish,12,0.0,322892,0.6699999999999999,4,Hindu,256,0.08,322892,0.6699999999999999,7,Sikh,98,0.03,322892,0.6699999999999999
59,E07000008,Cambridge,3,Not answered,1,No religion,2078,1.85,112432,49.71,2,Christian,1695,1.51,112432,39.6,6,Muslim,312,0.28,112432,4.89,8,Other religion,107,0.1,112432,0.89,3,Buddhist,70,0.06,112432,1.3800000000000001,5,Jewish,26,0.02,112432,0.89,4,Hindu,95,0.08,112432,0.89,7,Sikh,11,0.01,112432,0.89
60,E07000009,East Cambridgeshire,3,Not answered,1,No religion,918,1.37,67186,43.01,2,Christian,1174,1.75,67186,54.57,6,Muslim,37,0.06,67186,0.6000000000000001,8,Other religion,49,0.07,67186,0.6799999999999999,3,Buddhist,13,0.02,67186,0.45,5,Jewish,7,0.01,67186,0.6799999999999999,4,Hindu,11,0.02,67186,0.6799999999999999,7,Sikh,7,0.01,67186,0.6799999999999999
61,E07000010,Fenland,3,Not answered,1,No religion,1153,1.45,79654,39.01,2,Christian,2110,2.65,79654,58.97,6,Muslim,51,0.06,79654,0.6799999999999999,8,Other religion,50,0.06,79654,0.6000000000000001,3,Buddhist,16,0.02,79654,0.29000000000000004,5,Jewish,4,0.01,79654,0.6000000000000001,4,Hindu,10,0.01,79654,0.6000000000000001,7,Sikh,1,0.0,79654,0.6000000000000001
62,E07000011,Huntingdonshire,3,Not answered,1,No religion,1640,1.17,139957,43.78,2,Christian,2224,1.59,139957,53.010000000000005,6,Muslim,129,0.09,139957,1.31,8,Other religion,52,0.04,139957,0.6000000000000001,3,Buddhist,15,0.01,139957,0.43,5,Jewish,5,0.0,139957,0.6000000000000001,4,Hindu,40,0.03,139957,0.6000000000000001,7,Sikh,9,0.01,139957,0.6000000000000001
63,E07000012,South Cambridgeshire,3,Not answered,1,No religion,1640,1.34,122243,44.220000000000006,2,Christian,1847,1.51,122243,51.13,6,Muslim,92,0.08,122243,1.54,8,Other religion,56,0.05,122243,0.6000000000000001,3,Buddhist,34,0.03,122243,0.6000000000000001,5,Jewish,13,0.01,122243,0.6000000000000001,4,Hindu,75,0.06,122243,0.6000000000000001,7,Sikh,7,0.01,122243,0.6000000000000001
