,LA_code,LA_name,GI_code,GI_categories,Religion_code_atheist,Religion_categories_atheist,Observation_atheist,Percentages_atheist,Total_counts_atheist,Total_atheist,Religion_code_christian,Religion_categories_christian,Observation_christian,Percentages_christian,Total_counts_christian,Total_christian,Religion_code,Religion_categories,Observation,Percentages,Total_counts_muslim,Total_muslim,Religion_code_other,Religion_categories_other,Observation_other,Percentages_other,Total_counts_other,Total_other,Religion_code_buddhist,Religion_categories_buddhist,Observation_buddhist,Percentages_buddhist,Total_counts_buddhist,Total_buddhist,Religion_code_jewish,Religion_categories_jewish,Observation_jewish,Percentages_jewish,Total_counts_jewish,Total_jewish,Religion_code_hindu,Religion_categories_hindu,Observation_hindu,Percentages_hindu,Total_counts_hindu,Total_hindu,Religion_code_sikh,Religion_categories_sikh,Observation_sikh,Percentages_sikh,Total_counts_sikh,Total_sikh
18,E06000019,Herefordshire,3,Not answered,1,No religion,2123,1.35,157131,34.65,2,Christian,3564,2.27,157131,57.09,6,Muslim,51,0.03,157131,0.35,8,Other religion,77,0.05,157131,0.54,3,Buddhist,32,0.02,157131,0.54,5,Jewish,6,0.0,157131,0.54,4,Hindu,15,0.01,157131,0.54,7,Sikh,6,0.0,157131,0.54
19,E06000020,Telford and Wrekin,3,Not answered,1,No religion,1769,1.19,148674,38.05,2,Christian,2767,1.86,148674,51.01,6,Muslim,327,0.22,148674,2.2,8,Other religion,58,0.04,148674,0.56,3,Buddhist,47,0.03,148674,0.56,5,Jewish,4,0.0,148674,0.56,4,Hindu,60,0.04,148674,0.56,7,Sikh,117,0.08,148674,0.56
20,E06000021,Stoke-on-Trent,3,Not answered,1,No religion,2654,1.29,205898,35.48,2,Christian,4723,2.29,205898,49.74,6,Muslim,1401,0.68,205898,7.46,8,Other religion,58,0.03,205898,0.53,3,Buddhist,48,0.02,205898,0.53,5,Jewish,3,0.0,205898,0.53,4,Hindu,69,0.03,205898,0.53,7,Sikh,34,0.02,205898,0.53
21,E06000022,Bath and North East Somerset,3,Not answered,1,No religion,2160,1.34,161617,46.10000000000001,2,Christian,2112,1.31,161617,44.06,6,Muslim,77,0.05,161617,0.9,8,Other religion,65,0.04,161617,0.64,3,Buddhist,38,0.02,161617,0.64,5,Jewish,16,0.01,161617,0.64,4,Hindu,14,0.01,161617,0.64,7,Sikh,3,0.0,161617,0.64
22,E06000023,Bristol,3,Not answered,1,No religion,6562,1.68,389706,50.99,2,Christian,5190,1.33,389706,33.959999999999994,6,Muslim,1702,0.44,389706,5.290000000000001,8,Other religion,255,0.07,389706,0.8500000000000001,3,Buddhist,126,0.03,389706,0.8500000000000001,5,Jewish,49,0.01,389706,0.8500000000000001,4,Hindu,146,0.04,389706,0.8500000000000001,7,Sikh,90,0.02,389706,0.8500000000000001
23,E06000024,North Somerset,3,Not answered,1,No religion,2273,1.27,178565,42.36,2,Christian,2884,1.62,178565,49.75,6,Muslim,74,0.04,178565,0.54,8,Other religion,65,0.04,178565,0.62,3,Buddhist,44,0.02,178565,0.62,5,Jewish,9,0.01,178565,0.62,4,Hindu,16,0.01,178565,0.62,7,Sikh,7,0.0,178565,0.62
24,E06000025,South Gloucestershire,3,Not answered,1,No religion,2753,1.16,237366,43.769999999999996,2,Christian,3399,1.43,237366,46.830000000000005,6,Muslim,176,0.07,237366,1.3800000000000001,8,Other religion,96,0.04,237366,0.52,3,Buddhist,39,0.02,237366,0.52,5,Jewish,5,0.0,237366,0.52,4,Hindu,93,0.04,237366,0.52,7,Sikh,38,0.02,237366,0.52
25,E06000026,Plymouth,3,Not answered,1,No religion,2899,1.33,218624,45.97,2,Christian,3062,1.4,218624,45.59,6,Muslim,199,0.09,218624,1.1,8,Other religion,93,0.04,218624,0.65,3,Buddhist,66,0.03,218624,0.65,5,Jewish,6,0.0,218624,0.65,4,Hindu,22,0.01,218624,0.65,7,Sikh,2,0.0,218624,0.65
26,E06000027,Torbay,3,Not answered,1,No religion,1500,1.28,117033,39.87,2,Christian,2121,1.81,117033,51.84,6,Muslim,34,0.03,117033,0.5,8,Other religion,58,0.05,117033,0.79,3,Buddhist,17,0.01,117033,0.79,5,Jewish,8,0.01,117033,0.79,4,Hindu,8,0.01,117033,0.79,7,Sikh,2,0.0,117033,0.79
27,E06000030,Swindon,3,Not answered,1,No religion,2123,1.13,187154,38.56,2,Christian,3648,1.95,187154,49.2,6,Muslim,370,0.2,187154,2.2600000000000002,8,Other religion,82,0.04,187154,0.7400000000000001,3,Buddhist,63,0.03,187154,0.7400000000000001,5,Jewish,9,0.0,187154,0.7400000000000001,4,Hindu,268,0.14,187154,0.7400000000000001,7,Sikh,50,0.03,187154,0.7400000000000001
28,E06000031,Peterborough,3,Not answered,1,No religion,2026,1.21,167576,31.48,2,Christian,3790,2.26,167576,49.07,6,Muslim,1504,0.9,167576,10.41,8,Other religion,88,0.05,167576,0.53,3,Buddhist,29,0.02,167576,0.53,5,Jewish,8,0.0,167576,0.53,4,Hindu,207,0.12,167576,0.53,7,Sikh,48,0.03,167576,0.53
29,E06000032,Luton,3,Not answered,1,No religion,1471,0.85,172698,18.28,2,Christian,3488,2.02,172698,40.93000000000001,6,Muslim,4529,2.62,172698,28.730000000000004,8,Other religion,85,0.05,172698,0.5800000000000001,3,Buddhist,36,0.02,172698,0.5800000000000001,5,Jewish,37,0.02,172698,0.5800000000000001,4,Hindu,439,0.25,172698,0.5800000000000001,7,Sikh,166,0.1,172698,0.5800000000000001
30,E06000033,Southend-on-Sea,3,Not answered,1,No religion,1866,1.27,146408,42.46,2,Christian,2223,1.52,146408,45.470000000000006,6,Muslim,248,0.17,146408,2.5399999999999996,8,Other religion,55,0.04,146408,0.7100000000000001,3,Buddhist,36,0.02,146408,0.7100000000000001,5,Jewish,61,0.04,146408,0.7100000000000001,4,Hindu,99,0.07,146408,0.7100000000000001,7,Sikh,8,0.01,146408,0.7100000000000001
31,E06000034,Thurrock,3,Not answered,1,No religion,1355,0.99,136367,32.97,2,Christian,2836,2.08,136367,54.24,6,Muslim,364,0.27,136367,4.1,8,Other religion,68,0.05,136367,0.5800000000000001,3,Buddhist,39,0.03,136367,0.5800000000000001,5,Jewish,10,0.01,136367,0.5800000000000001,4,Hindu,102,0.07,136367,0.5800000000000001,7,Sikh,97,0.07,136367,0.5800000000000001
32,E06000035,Medway,3,Not answered,1,No religion,2590,1.16,222758,40.339999999999996,2,Christian,3399,1.53,222758,47.980000000000004,6,Muslim,393,0.18,222758,2.4000000000000004,8,Other religion,102,0.05,222758,0.7000000000000001,3,Buddhist,45,0.02,222758,0.7000000000000001,5,Jewish,18,0.01,222758,0.7000000000000001,4,Hindu,160,0.07,222758,0.7000000000000001,7,Sikh,174,0.08,222758,0.7000000000000001
33,E06000036,Bracknell Forest,3,Not answered,1,No religion,1008,1.01,99938,38.949999999999996,2,Christian,1337,1.34,99938,49.25,6,Muslim,113,0.11,99938,1.6,8,Other religion,48,0.05,99938,0.67,3,Buddhist,57,0.06,99938,0.67,5,Jewish,3,0.0,99938,0.67,4,Hindu,168,0.17,99938,0.67,7,Sikh,28,0.03,99938,0.67
34,E06000037,West Berkshire,3,Not answered,1,No religion,1340,1.02,130736,39.02,2,Christian,1814,1.39,130736,51.74,6,Muslim,108,0.08,130736,1.07,8,Other religion,51,0.04,130736,0.5,3,Buddhist,20,0.02,130736,0.5,5,Jewish,8,0.01,130736,0.5,4,Hindu,84,0.06,130736,0.5,7,Sikh,13,0.01,130736,0.5
35,E06000038,Reading,3,Not answered,1,No religion,1680,1.19,141360,36.17,2,Christian,2378,1.68,141360,41.279999999999994,6,Muslim,745,0.53,141360,7.53,8,Other religion,73,0.05,141360,0.8,3,Buddhist,171,0.12,141360,0.8,5,Jewish,10,0.01,141360,0.8,4,Hindu,401,0.28,141360,0.8,7,Sikh,49,0.03,141360,0.8
36,E06000039,Slough,3,Not answered,1,No religion,792,0.67,118933,13.45,2,Christian,2386,2.01,118933,34.33,6,Muslim,2527,2.12,118933,26.25,8,Other religion,64,0.05,118933,0.49,3,Buddhist,44,0.04,118933,0.49,5,Jewish,3,0.0,118933,0.49,4,Hindu,588,0.49,118933,0.49,7,Sikh,734,0.62,118933,0.49
37,E06000040,Windsor and Maidenhead,3,Not answered,1,No religion,1142,0.92,123677,30.560000000000002,2,Christian,1981,1.6,123677,51.57000000000001,6,Muslim,416,0.34,123677,4.88,8,Other religion,37,0.03,123677,0.49,3,Buddhist,29,0.02,123677,0.49,5,Jewish,7,0.01,123677,0.49,4,Hindu,141,0.11,123677,0.49,7,Sikh,174,0.14,123677,0.49
38,E06000041,Wokingham,3,Not answered,1,No religion,1323,0.94,140818,35.9,2,Christian,1670,1.19,140818,47.339999999999996,6,Muslim,457,0.32,140818,4.03,8,Other religion,48,0.03,140818,0.47,3,Buddhist,39,0.03,140818,0.47,5,Jewish,24,0.02,140818,0.47,4,Hindu,275,0.2,140818,0.47,7,Sikh,90,0.06,140818,0.47
39,E06000042,Milton Keynes,3,Not answered,1,No religion,2644,1.18,224830,37.03,2,Christian,3803,1.69,224830,45.22,6,Muslim,1020,0.45,224830,6.04,8,Other religion,122,0.05,224830,0.6200000000000001,3,Buddhist,49,0.02,224830,0.6200000000000001,5,Jewish,13,0.01,224830,0.6200000000000001,4,Hindu,560,0.25,224830,0.6200000000000001,7,Sikh,78,0.03,224830,0.6200000000000001
40,E06000043,Brighton and Hove,3,Not answered,1,No religion,4055,1.72,235369,54.230000000000004,2,Christian,2464,1.05,235369,32.05,6,Muslim,370,0.16,235369,2.73,8,Other religion,233,0.1,235369,1.1500000000000001,3,Buddhist,129,0.05,235369,1.1500000000000001,5,Jewish,63,0.03,235369,1.1500000000000001,4,Hindu,91,0.04,235369,1.1500000000000001,7,Sikh,13,0.01,235369,1.1500000000000001
41,E06000044,Portsmouth,3,Not answered,1,No religion,2268,1.33,170820,45.1,2,Christian,2418,1.42,170820,41.839999999999996,6,Muslim,566,0.33,170820,4.1499999999999995,8,Other religion,75,0.04,170820,0.68,3,Buddhist,57,0.03,170820,0.68,5,Jewish,3,0.0,170820,0.68,4,Hindu,64,0.04,170820,0.68,7,Sikh,34,0.02,170820,0.68
42,E06000045,Southampton,3,Not answered,1,No religion,2914,1.43,204368,42.52,2,Christian,3396,1.66,204368,41.959999999999994,6,Muslim,724,0.35,204368,4.489999999999999,8,Other religion,114,0.06,204368,0.76,3,Buddhist,58,0.03,204368,0.76,5,Jewish,14,0.01,204368,0.76,4,Hindu,147,0.07,204368,0.76,7,Sikh,179,0.09,204368,0.76
43,E06000046,Isle of Wight,3,Not answered,1,No religion,1703,1.42,119582,40.769999999999996,2,Christian,2230,1.86,119582,50.87,6,Muslim,41,0.03,119582,0.39,8,Other religion,66,0.06,119582,0.8900000000000001,3,Buddhist,24,0.02,119582,0.8900000000000001,5,Jewish,7,0.01,119582,0.8900000000000001,4,Hindu,5,0.0,119582,0.8900000000000001,7,Sikh,1,0.0,119582,0.8900000000000001
44,E06000047,County Durham,3,Not answered,1,No religion,4337,1.0,433957,35.8,2,Christian,6571,1.51,433957,57.42999999999999,6,Muslim,122,0.03,433957,0.5,8,Other religion,119,0.03,433957,0.49,3,Buddhist,49,0.01,433957,0.49,5,Jewish,11,0.0,433957,0.49,4,Hindu,51,0.01,433957,0.49,7,Sikh,19,0.0,433957,0.49
45,E06000049,Cheshire East,3,Not answered,1,No religion,3334,1.01,329474,35.3,2,Christian,5284,1.6,329474,56.94,6,Muslim,220,0.07,329474,0.9199999999999999,8,Other religion,95,0.03,329474,0.45000000000000007,3,Buddhist,64,0.02,329474,0.45000000000000007,5,Jewish,9,0.0,329474,0.45000000000000007,4,Hindu,55,0.02,329474,0.45000000000000007,7,Sikh,10,0.0,329474,0.45000000000000007
46,E06000050,Cheshire West and Chester,3,Not answered,1,No religion,2843,0.96,295359,35.57,2,Christian,4381,1.48,295359,56.97,6,Muslim,192,0.07,295359,0.8400000000000001,8,Other religion,81,0.03,295359,0.39,3,Buddhist,52,0.02,295359,0.39,5,Jewish,10,0.0,295359,0.39,4,Hindu,51,0.02,295359,0.39,7,Sikh,16,0.01,295359,0.39
47,E06000051,Shropshire,3,Not answered,1,No religion,3748,1.38,272248,34.71,2,Christian,5882,2.16,272248,57.97,6,Muslim,92,0.03,272248,0.49,8,Other religion,92,0.03,272248,0.5,3,Buddhist,35,0.01,272248,0.5,5,Jewish,13,0.0,272248,0.5,4,Hindu,13,0.0,272248,0.5,7,Sikh,42,0.02,272248,0.5
48,E06000052,Cornwall,3,Not answered,1,No religion,7240,1.52,477425,43.28,2,Christian,8039,1.68,477425,48.59,6,Muslim,70,0.01,477425,0.19,8,Other religion,284,0.06,477425,0.8700000000000001,3,Buddhist,172,0.04,477425,0.8700000000000001,5,Jewish,27,0.01,477425,0.8700000000000001,4,Hindu,27,0.01,477425,0.8700000000000001,7,Sikh,13,0.0,477425,0.8700000000000001
49,E06000053,Isles of Scilly,3,Not answered,1,No religion,20,1.15,1733,43.269999999999996,2,Christian,23,1.33,1733,49.8,6,Muslim,0,0.0,1733,0.0,8,Other religion,0,0.0,1733,0.4,3,Buddhist,0,0.0,1733,0.4,5,Jewish,0,0.0,1733,0.4,4,Hindu,0,0.0,1733,0.4,7,Sikh,0,0.0,1733,0.4
50,E06000054,Wiltshire,3,Not answered,1,No religion,4511,1.08,419117,39.0,2,Christian,6404,1.53,419117,52.71,6,Muslim,172,0.04,419117,0.5900000000000001,8,Other religion,208,0.05,419117,0.7200000000000001,3,Buddhist,117,0.03,419117,0.7200000000000001,5,Jewish,8,0.0,419117,0.7200000000000001,4,Hindu,156,0.04,419117,0.7200000000000001,7,Sikh,29,0.01,419117,0.7200000000000001
51,E06000055,Bedford,3,Not answered,1,No religion,1395,0.94,148117,32.89,2,Christian,2718,1.84,148117,50.040000000000006,6,Muslim,682,0.46,148117,5.8999999999999995,8,Other religion,94,0.06,148117,1.1600000000000001,3,Buddhist,26,0.02,148117,1.1600000000000001,5,Jewish,6,0.0,148117,1.1600000000000001,4,Hindu,100,0.07,148117,1.1600000000000001,7,Sikh,186,0.13,148117,1.1600000000000001
52,E06000056,Central Bedfordshire,3,Not answered,1,No religion,2522,1.07,236760,40.4,2,Christian,3592,1.52,236760,50.63,6,Muslim,149,0.06,236760,1.1300000000000001,8,Other religion,87,0.04,236760,0.52,3,Buddhist,46,0.02,236760,0.52,5,Jewish,13,0.01,236760,0.52,4,Hindu,100,0.04,236760,0.52,7,Sikh,33,0.01,236760,0.52
53,E06000057,Northumberland,3,Not answered,1,No religion,2777,1.03,268847,37.18000000000001,2,Christian,3953,1.47,268847,56.34,6,Muslim,84,0.03,268847,0.44999999999999996,8,Other religion,74,0.03,268847,0.47,3,Buddhist,43,0.02,268847,0.47,5,Jewish,13,0.0,268847,0.47,4,Hindu,11,0.0,268847,0.47,7,Sikh,26,0.01,268847,0.47
54,E06000058,"Bournemouth, Christchurch and Poole",3,Not answered,1,No religion,4269,1.27,334907,40.62,2,Christian,5259,1.57,334907,48.68,6,Muslim,391,0.12,334907,1.4100000000000001,8,Other religion,230,0.07,334907,0.8,3,Buddhist,99,0.03,334907,0.8,5,Jewish,52,0.02,334907,0.8,4,Hindu,102,0.03,334907,0.8,7,Sikh,11,0.0,334907,0.8
55,E06000059,Dorset,3,Not answered,1,No religion,3662,1.14,321906,37.49,2,Christian,5625,1.75,321906,54.43000000000001,6,Muslim,75,0.02,321906,0.35000000000000003,8,Other religion,118,0.04,321906,0.6900000000000001,3,Buddhist,74,0.02,321906,0.6900000000000001,5,Jewish,20,0.01,321906,0.6900000000000001,4,Hindu,29,0.01,321906,0.6900000000000001,7,Sikh,10,0.0,321906,0.6900000000000001
56,E06000060,Buckinghamshire,3,Not answered,1,No religion,4443,1.0,443394,33.21,2,Christian,6611,1.49,443394,49.68,6,Muslim,2299,0.52,443394,5.99,8,Other religion,162,0.04,443394,0.51,3,Buddhist,120,0.03,443394,0.51,5,Jewish,29,0.01,443394,0.51,4,Hindu,576,0.13,443394,0.51,7,Sikh,254,0.06,443394,0.51
57,E06000061,North Northamptonshire,3,Not answered,1,No religion,3713,1.28,289187,40.05,2,Christian,5624,1.94,289187,50.63,6,Muslim,233,0.08,289187,1.03,8,Other religion,155,0.05,289187,0.5800000000000001,3,Buddhist,44,0.02,289187,0.5800000000000001,5,Jewish,11,0.0,289187,0.5800000000000001,4,Hindu,286,0.1,289187,0.5800000000000001,7,Sikh,92,0.03,289187,0.5800000000000001
58,E06000062,West Northamptonshire,3,Not answered,1,No religion,3894,1.13,343501,36.400000000000006,2,Christian,7248,2.11,343501,51.879999999999995,6,Muslim,731,0.21,343501,2.9,8,Other religion,182,0.05,343501,0.6300000000000001,3,Buddhist,91,0.03,343501,0.6300000000000001,5,Jewish,12,0.0,343501,0.6300000000000001,4,Hindu,256,0.07,343501,0.6300000000000001,7,Sikh,98,0.03,343501,0.6300000000000001
59,E07000008,Cambridge,3,Not answered,1,No religion,2078,1.67,124764,44.800000000000004,2,Christian,1695,1.36,124764,35.69,6,Muslim,312,0.25,124764,4.3999999999999995,8,Other religion,107,0.09,124764,0.81,3,Buddhist,70,0.06,124764,0.81,5,Jewish,26,0.02,124764,0.81,4,Hindu,95,0.08,124764,0.81,7,Sikh,11,0.01,124764,0.81
60,E07000009,East Cambridgeshire,3,Not answered,1,No religion,918,1.29,71430,40.46,2,Christian,1174,1.64,71430,51.32,6,Muslim,37,0.05,71430,0.56,8,Other religion,49,0.07,71430,0.6400000000000001,3,Buddhist,13,0.02,71430,0.6400000000000001,5,Jewish,7,0.01,71430,0.6400000000000001,4,Hindu,11,0.02,71430,0.6400000000000001,7,Sikh,7,0.01,71430,0.6400000000000001
61,E07000010,Fenland,3,Not answered,1,No religion,1153,1.36,84830,36.62,2,Christian,2110,2.49,84830,55.370000000000005,6,Muslim,51,0.06,84830,0.6399999999999999,8,Other religion,50,0.06,84830,0.5700000000000001,3,Buddhist,16,0.02,84830,0.5700000000000001,5,Jewish,4,0.0,84830,0.5700000000000001,4,Hindu,10,0.01,84830,0.5700000000000001,7,Sikh,1,0.0,84830,0.5700000000000001
62,E07000011,Huntingdonshire,3,Not answered,1,No religion,1640,1.11,148261,41.33,2,Christian,2224,1.5,148261,50.050000000000004,6,Muslim,129,0.09,148261,1.2300000000000002,8,Other religion,52,0.04,148261,0.5700000000000001,3,Buddhist,15,0.01,148261,0.5700000000000001,5,Jewish,5,0.0,148261,0.5700000000000001,4,Hindu,40,0.03,148261,0.5700000000000001,7,Sikh,9,0.01,148261,0.5700000000000001
63,E07000012,South Cambridgeshire,3,Not answered,1,No religion,1640,1.26,130363,41.48,2,Christian,1847,1.42,130363,47.95,6,Muslim,92,0.07,130363,1.4400000000000002,8,Other religion,56,0.04,130363,0.56,3,Buddhist,34,0.03,130363,0.56,5,Jewish,13,0.01,130363,0.56,4,Hindu,75,0.06,130363,0.56,7,Sikh,7,0.01,130363,0.56
64,E07000026,Allerdale,3,Not answered,1,No religion,736,0.91,80514,31.21,2,Christian,1303,1.62,80514,62.12,6,Muslim,12,0.01,80514,0.21000000000000002,8,Other religion,22,0.03,80514,0.36,3,Buddhist,8,0.01,80514,0.36,5,Jewish,1,0.0,80514,0.36,4,Hindu,2,0.0,80514,0.36,7,Sikh,4,0.0,80514,0.36
65,E07000027,Barrow-in-Furness,3,Not answered,1,No religion,683,1.22,55841,36.95,2,Christian,855,1.53,55841,56.12,6,Muslim,22,0.04,55841,0.42,8,Other religion,26,0.05,55841,0.42,3,Buddhist,3,0.01,55841,0.42,5,Jewish,0,0.0,55841,0.42,4,Hindu,4,0.01,55841,0.42,7,Sikh,5,0.01,55841,0.42
