LA_code,LA_name,SO_code,SO_categories,Observation_x,Percentages,Non-response_rate,region_x,Observation_y,Observation_total,Percentage,region_y,Urb_Rur
E06000034,Thurrock,5,Not answered,8954,6.566297309387443,6.566297309387443,East of England,19094,176000,10.848863636363637,East of England,Predominantly Urban
E06000035,Medway,5,Not answered,14881,6.680403670383739,6.680403670383739,South East,17555,279775,6.27468501474399,South East,Predominantly Urban
E06000036,Bracknell Forest,5,Not answered,6014,6.018032081494602,6.018032081494602,South East,9271,124607,7.4401919635333496,South East,Predominantly Urban
E06000037,West Berkshire,5,Not answered,8459,6.470291274017868,6.470291274017868,South East,7505,161448,4.648555572072742,South East,Urban with Significant Rural
E06000038,Reading,5,Not answered,12738,9.011035653650255,9.011035653650255,South East,31735,174226,18.214847382135847,South East,Predominantly Urban
E06000039,Slough,5,Not answered,11677,9.818050347251416,9.818050347251416,South East,41438,158492,26.145168210382856,South East,Predominantly Urban
E06000040,Windsor and Maidenhead,5,Not answered,8613,6.96410812034574,6.96410812034574,South East,12892,153499,8.39875178339924,South East,Predominantly Urban
E06000041,Wokingham,5,Not answered,9253,6.570752941677732,6.570752941677732,South East,13737,177512,7.738631754472937,South East,Predominantly Urban
E06000042,Milton Keynes,5,Not answered,16408,7.29792599774942,7.29792599774942,South East,34868,287057,12.14671650578108,South East,Predominantly Urban
E06000043,Brighton and Hove,5,Not answered,20375,8.656693589160758,8.656693589160758,South East,24579,277105,8.869922953393118,South East,Predominantly Urban
E06000044,Portsmouth,5,Not answered,13114,7.677176878314931,7.677176878314931,South East,18546,208004,8.916174688948288,South East,Predominantly Urban
E06000045,Southampton,5,Not answered,16969,8.303159007280984,8.303159007280984,South East,37042,248921,14.881026510418968,South East,Predominantly Urban
E06000046,Isle of Wight,5,Not answered,9306,7.781847373438362,7.781847373438362,South East,2556,140465,1.8196703805218384,South East,Predominantly Rural
E06000047,County Durham,5,Not answered,25035,5.7689914692205235,5.7689914692205235,North East,9565,522070,1.832129791024192,North East,Predominantly Rural
E06000049,Cheshire East,5,Not answered,19981,6.064514954139021,6.064514954139021,North West,16413,398770,4.115906412217569,North West,Urban with Significant Rural
E06000050,Cheshire West and Chester,5,Not answered,17726,6.0015303462239045,6.0015303462239045,North West,11598,357148,3.2473932375373793,North West,Urban with Significant Rural
E06000051,Shropshire,5,Not answered,19378,7.1178272591700145,7.1178272591700145,West Midlands,8254,323603,2.550656205288579,West Midlands,Predominantly Rural
E06000052,Cornwall,5,Not answered,36528,7.6510446667015755,7.6510446667015755,South West,10226,570304,1.7930787790371452,South West,Predominantly Rural
E06000053,Isles of Scilly,5,Not answered,118,6.820809248554912,6.820809248554912,South West,46,2054,2.239532619279455,South West,Predominantly Rural
E06000054,Wiltshire,5,Not answered,27520,6.566232576339612,6.566232576339612,South West,17204,510338,3.371099153894086,South West,Predominantly Rural
E06000055,Bedford,5,Not answered,10745,7.254351260481508,7.254351260481508,East of England,21719,185223,11.725865578248921,East of England,Urban with Significant Rural
E06000056,Central Bedfordshire,5,Not answered,14555,6.14757560398716,6.14757560398716,East of England,13773,294250,4.68071367884452,East of England,Predominantly Rural
E06000057,Northumberland,5,Not answered,15171,5.6429655418675235,5.6429655418675235,North East,3506,320560,1.093711005739955,North East,Predominantly Rural
E06000058,"Bournemouth, Christchurch and Poole",5,Not answered,25580,7.637895667181234,7.637895667181234,South West,32213,400195,8.04932595359762,South West,Not specified
E06000059,Dorset,5,Not answered,23103,7.177029033681058,7.177029033681058,South West,6790,379574,1.788847497457676,South West,Not specified
E06000060,Buckinghamshire,5,Not answered,31429,7.088262159022992,7.088262159022992,South East,38876,553074,7.029077483302415,South East,Not specified
E06000061,North Northamptonshire,5,Not answered,20283,7.013752251987454,7.013752251987454,East Midlands,32849,359519,9.136930176152024,East Midlands,Not specified
E06000062,West Northamptonshire,5,Not answered,25499,7.423246443979947,7.423246443979947,East Midlands,44949,425724,10.558249006398512,East Midlands,Not specified
E07000008,Cambridge,5,Not answered,14860,11.910105155167992,11.910105155167992,East of England,28407,145673,19.500525148792157,East of England,Predominantly Urban
E07000009,East Cambridgeshire,5,Not answered,4943,6.9201584790491255,6.9201584790491255,East of England,4197,87757,4.782524470982372,East of England,Predominantly Rural
E07000010,Fenland,5,Not answered,6394,7.537250094304036,7.537250094304036,East of England,8801,102469,8.588939093774703,East of England,Predominantly Rural
E07000011,Huntingdonshire,5,Not answered,9198,6.2039241607705335,6.2039241607705335,East of England,9323,180837,5.15547150196033,East of England,Predominantly Rural
E07000012,South Cambridgeshire,5,Not answered,9436,7.238361166299737,7.238361166299737,East of England,10679,162121,6.587055347549054,East of England,Predominantly Rural
E07000026,Allerdale,5,Not answered,4972,6.175400245923019,6.175400245923019,North West,1073,96154,1.1159182145308568,North West,Predominantly Rural
E07000027,Barrow-in-Furness,5,Not answered,3570,6.393953505032776,6.393953505032776,North West,1043,67408,1.5472940897222882,North West,Urban with Significant Rural
E07000028,Carlisle,5,Not answered,5914,6.474497224746285,6.474497224746285,North West,3807,110020,3.4602799491001637,North West,Urban with Significant Rural
E07000029,Copeland,5,Not answered,3484,6.2207620612077275,6.2207620612077275,North West,656,67073,0.978038853189808,North West,Predominantly Rural
E07000030,Eden,5,Not answered,3277,7.027212489009929,7.027212489009929,North West,1245,54728,2.274886712468937,North West,Predominantly Rural
E07000031,South Lakeland,5,Not answered,6248,6.965207406664215,6.965207406664215,North West,2592,104446,2.4816651666890066,North West,Predominantly Rural
E07000032,Amber Valley,5,Not answered,7116,6.773079009737016,6.773079009737016,East Midlands,1850,126207,1.465845793022574,East Midlands,Predominantly Urban
E07000033,Bolsover,5,Not answered,4255,6.419928181296962,6.419928181296962,East Midlands,2903,80271,3.616499109267357,East Midlands,Urban with Significant Rural
E07000034,Chesterfield,5,Not answered,5606,6.518377265909328,6.518377265909328,East Midlands,2252,103571,2.1743538249123793,East Midlands,Predominantly Urban
E07000035,Derbyshire Dales,5,Not answered,4167,6.824434981984933,6.824434981984933,East Midlands,658,71542,0.9197394537474491,East Midlands,Predominantly Rural
E07000036,Erewash,5,Not answered,5942,6.353245586835888,6.353245586835888,East Midlands,2599,112907,2.3018944795273986,East Midlands,Predominantly Urban
E07000037,High Peak,5,Not answered,4701,6.213322759714512,6.213322759714512,East Midlands,1146,90932,1.260282408832974,East Midlands,Predominantly Rural
E07000038,North East Derbyshire,5,Not answered,5056,5.929261656815837,5.929261656815837,East Midlands,1106,101998,1.0843349869605285,East Midlands,Predominantly Urban
E07000039,South Derbyshire,5,Not answered,5088,5.851369689721002,5.851369689721002,East Midlands,3202,107219,2.9864109905893543,East Midlands,Urban with Significant Rural
E07000040,East Devon,5,Not answered,9152,7.184350174270731,7.184350174270731,South West,2776,150829,1.8404948650458466,South West,Predominantly Rural
E07000041,Exeter,5,Not answered,9486,8.5205378555838,8.5205378555838,South West,9904,130704,7.5774268576325134,South West,Predominantly Urban
E07000042,Mid Devon,5,Not answered,5025,7.367495051682428,7.367495051682428,South West,2138,82856,2.580380419040263,South West,Predominantly Rural
E07000043,North Devon,5,Not answered,6079,7.396006959230104,7.396006959230104,South West,1826,98611,1.8517203963046718,South West,Predominantly Rural
E07000044,South Hams,5,Not answered,5397,7.199071603884325,7.199071603884325,South West,1220,88624,1.376602274778841,South West,Predominantly Rural
E07000045,Teignbridge,5,Not answered,8167,7.198068058628075,7.198068058628075,South West,1802,134802,1.3367754187623329,South West,Predominantly Rural
E07000046,Torridge,5,Not answered,4466,7.759129921123041,7.759129921123041,South West,681,68118,0.999735752664494,South West,Predominantly Rural
E07000047,West Devon,5,Not answered,3675,7.598784194528875,7.598784194528875,South West,761,57096,1.3328429312035868,South West,Predominantly Rural
E07000061,Eastbourne,5,Not answered,6805,8.046017782822549,8.046017782822549,South East,7263,101683,7.142786896531376,South East,Predominantly Urban
E07000062,Hastings,5,Not answered,6234,8.344934675519383,8.344934675519383,South East,4613,90990,5.069787888778986,South East,Predominantly Urban
E07000063,Lewes,5,Not answered,5861,7.0426089255245,7.0426089255245,South East,2806,99909,2.808555785765046,South East,Urban with Significant Rural
E07000064,Rother,5,Not answered,6093,7.665018681360154,7.665018681360154,South East,1770,93108,1.9010181724449027,South East,Predominantly Rural
E07000065,Wealden,5,Not answered,9124,6.82688854303843,6.82688854303843,South East,3148,160152,1.9656326489834657,South East,Predominantly Rural
E07000066,Basildon,5,Not answered,9275,6.238943112946732,6.238943112946732,East of England,9273,187575,4.943622550979608,East of England,Predominantly Urban
E07000067,Braintree,5,Not answered,8266,6.530825083551265,6.530825083551265,East of England,4439,155268,2.8589277893706364,East of England,Predominantly Rural
E07000068,Brentwood,5,Not answered,3949,6.281714785651793,6.281714785651793,East of England,3015,77048,3.913145052434846,East of England,Urban with Significant Rural
E07000069,Castle Point,5,Not answered,4563,6.132075471698113,6.132075471698113,East of England,1477,89592,1.648584695062059,East of England,Predominantly Urban
E07000070,Chelmsford,5,Not answered,9587,6.489190323410361,6.489190323410361,East of England,9002,181522,4.959178501779399,East of England,Predominantly Urban
E07000071,Colchester,5,Not answered,11159,7.137511753004612,7.137511753004612,East of England,12348,192707,6.407655144857219,East of England,Urban with Significant Rural
E07000072,Epping Forest,5,Not answered,7382,6.715060219044499,6.715060219044499,East of England,7880,134983,5.837772163902121,East of England,Urban with Significant Rural
E07000073,Harlow,5,Not answered,4896,6.697399559525601,6.697399559525601,East of England,9350,93327,10.018536972151681,East of England,Predominantly Urban
E07000074,Maldon,5,Not answered,3232,5.830882750906565,5.830882750906565,East of England,782,66209,1.1811083085381142,East of England,Predominantly Rural
E07000075,Rochford,5,Not answered,3880,5.487123644128919,5.487123644128919,East of England,922,85663,1.0763106592110947,East of England,Predominantly Urban
E07000076,Tendring,5,Not answered,9355,7.4905317436804895,7.4905317436804895,East of England,2350,148294,1.5846898728202083,East of England,Predominantly Rural
E07000077,Uttlesford,5,Not answered,4379,5.9561213802859045,5.9561213802859045,East of England,2684,91335,2.938632506706082,East of England,Predominantly Rural
E07000078,Cheltenham,5,Not answered,6810,6.918200658295745,6.918200658295745,South West,7964,118834,6.701785684231785,South West,Predominantly Urban
E07000079,Cotswold,5,Not answered,4826,6.323789556443687,6.323789556443687,South West,1963,90823,2.1613467954152585,South West,Predominantly Rural
E07000080,Forest of Dean,5,Not answered,5197,7.114597450956234,7.114597450956234,South West,1571,87009,1.8055603443321955,South West,Predominantly Rural
E07000081,Gloucester,5,Not answered,7564,7.07332354563902,7.07332354563902,South West,10258,132415,7.74685647396443,South West,Predominantly Urban
E07000082,Stroud,5,Not answered,6989,6.9753979739507965,6.9753979739507965,South West,2167,121109,1.78929724463087,South West,Urban with Significant Rural
E07000083,Tewkesbury,5,Not answered,4802,6.207904024407586,6.207904024407586,South West,3077,94886,3.2428387749509935,South West,Predominantly Rural
E07000084,Basingstoke and Deane,5,Not answered,9082,6.062467040925991,6.062467040925991,South East,12631,185151,6.821999341078364,South East,Urban with Significant Rural
E07000085,East Hampshire,5,Not answered,6552,6.310314937879226,6.310314937879226,South East,3502,125746,2.7849792438725687,South East,Predominantly Rural
E07000086,Eastleigh,5,Not answered,6296,5.706413370554327,5.706413370554327,South East,4858,136437,3.560617720999436,South East,Predominantly Urban
E07000087,Fareham,5,Not answered,5507,5.758171438131287,5.758171438131287,South East,2161,114513,1.8871219861500441,South East,Predominantly Urban
E07000088,Gosport,5,Not answered,3947,5.872550624153784,5.872550624153784,South East,1792,81951,2.1866725238252127,South East,Predominantly Urban
E07000089,Hart,5,Not answered,4405,5.483766557115826,5.483766557115826,South East,3573,99409,3.5942419700429538,South East,Urban with Significant Rural
E07000090,Havant,5,Not answered,6339,6.162445924269674,6.162445924269674,South East,2587,124211,2.0827462946115887,South East,Predominantly Urban
E07000091,New Forest,5,Not answered,9984,6.71224864363365,6.71224864363365,South East,3378,175788,1.9216328759642294,South East,Urban with Significant Rural
E07000092,Rushmoor,5,Not answered,5391,6.6661720517861776,6.6661720517861776,South East,14422,99752,14.457855481594354,South East,Predominantly Urban
E07000093,Test Valley,5,Not answered,6548,6.133900385008103,6.133900385008103,South East,5337,130500,4.089655172413793,South East,Urban with Significant Rural
E07000094,Winchester,5,Not answered,6880,6.5680190930787585,6.5680190930787585,South East,4268,127445,3.348895602024403,South East,Predominantly Rural
E07000095,Broxbourne,5,Not answered,5470,6.8859599430995635,6.8859599430995635,East of England,8649,99013,8.735216587720803,East of England,Predominantly Urban
E07000096,Dacorum,5,Not answered,8230,6.64889319760866,6.64889319760866,East of England,9320,155092,6.00933639388234,East of England,Urban with Significant Rural
E07000098,Hertsmere,5,Not answered,6445,7.4774053577436685,7.4774053577436685,East of England,10714,107839,9.935181149676833,East of England,Predominantly Urban
E07000099,North Hertfordshire,5,Not answered,6990,6.487720666035529,6.487720666035529,East of England,5595,133214,4.200009008062215,East of England,Urban with Significant Rural
E07000102,Three Rivers,5,Not answered,4930,6.573070410516912,6.573070410516912,East of England,7013,93759,7.479815271067311,East of England,Predominantly Urban
E07000103,Watford,5,Not answered,6759,8.348257846176649,8.348257846176649,East of England,18717,102249,18.305313499398526,East of England,Predominantly Urban
E07000105,Ashford,5,Not answered,6964,6.52249248377338,6.52249248377338,South East,8710,132752,6.561106424008678,South East,Urban with Significant Rural
E07000106,Canterbury,5,Not answered,10620,7.9986141760749545,7.9986141760749545,South East,8354,157434,5.306350597710787,South East,Predominantly Urban
E07000107,Dartford,5,Not answered,5934,6.542591898388057,6.542591898388057,South East,10461,116757,8.959634111873378,South East,Predominantly Urban
E07000108,Dover,5,Not answered,6524,6.786643087485697,6.786643087485697,South East,4034,116406,3.465457107021975,South East,Urban with Significant Rural
E07000109,Gravesham,5,Not answered,5621,6.64774407190586,6.64774407190586,South East,12284,106901,11.49100569685971,South East,Predominantly Urban
E07000110,Maidstone,5,Not answered,9153,6.439607136826702,6.439607136826702,South East,13281,175784,7.5552951349383335,South East,Urban with Significant Rural
E07000111,Sevenoaks,5,Not answered,6133,6.348664120161899,6.348664120161899,South East,3942,120507,3.271179267594414,South East,Predominantly Rural
E07000112,Folkestone and Hythe,5,Not answered,6098,6.660477308721534,6.660477308721534,South East,5149,109755,4.691358024691358,South East,Urban with Significant Rural
E07000113,Swale,5,Not answered,7279,5.966393442622951,5.966393442622951,South East,5560,151680,3.6656118143459917,South East,Predominantly Rural
E07000114,Thanet,5,Not answered,8133,7.046622248022389,7.046622248022389,South East,6396,140581,4.549690214182571,South East,Predominantly Urban
E07000115,Tonbridge and Malling,5,Not answered,6298,5.968197411064572,5.968197411064572,South East,3966,132209,2.9997957778971176,South East,Urban with Significant Rural
E07000116,Tunbridge Wells,5,Not answered,6389,6.914352503192571,6.914352503192571,South East,5923,115305,5.136811066302415,South East,Urban with Significant Rural
E07000117,Burnley,5,Not answered,5709,7.5918562746845035,7.5918562746845035,North West,8169,94645,8.631200803000686,North West,Predominantly Urban
E07000118,Chorley,5,Not answered,5641,5.853542114165344,5.853542114165344,North West,2504,117737,2.1267740812149114,North West,Urban with Significant Rural
E07000119,Fylde,5,Not answered,3994,5.767509025270758,5.767509025270758,North West,1758,81377,2.160315568280964,North West,Predominantly Urban
E07000120,Hyndburn,5,Not answered,4712,7.179534061647697,7.179534061647697,North West,4764,82233,5.793294662726643,North West,Predominantly Urban
E07000121,Lancaster,5,Not answered,9401,7.857739886325643,7.857739886325643,North West,7369,142937,5.15541812127021,North West,Urban with Significant Rural
E07000122,Pendle,5,Not answered,6448,8.571960330754301,8.571960330754301,North West,11400,95756,11.905259200467857,North West,Predominantly Urban
E07000123,Preston,5,Not answered,9154,7.713893266143643,7.713893266143643,North West,17648,147825,11.938440723828851,North West,Predominantly Urban
E07000124,Ribble Valley,5,Not answered,3016,5.860635031673857,5.860635031673857,North West,842,61560,1.367771280051982,North West,Predominantly Rural
E07000125,Rossendale,5,Not answered,3609,6.298649167510209,6.298649167510209,North West,1533,70870,2.163115563708198,North West,Predominantly Urban
E07000126,South Ribble,5,Not answered,5052,5.521371818271239,5.521371818271239,North West,2221,111037,2.0002341561821737,North West,Predominantly Urban
E07000127,West Lancashire,5,Not answered,6288,6.394597947789654,6.394597947789654,North West,3750,117428,3.193446196818476,North West,Urban with Significant Rural
E07000128,Wyre,5,Not answered,5757,6.101684136893091,6.101684136893091,North West,1376,111944,1.2291860215822197,North West,Predominantly Rural
E07000129,Blaby,5,Not answered,5077,6.068175842038582,6.068175842038582,East Midlands,5286,102939,5.135079998834261,East Midlands,Predominantly Urban
E07000130,Charnwood,5,Not answered,11039,7.2103200522534285,7.2103200522534285,East Midlands,11900,183968,6.468516263698035,East Midlands,Predominantly Urban
E07000131,Harborough,5,Not answered,4845,6.0240214850549565,6.0240214850549565,East Midlands,2663,97630,2.727645191027348,East Midlands,Predominantly Rural
E07000132,Hinckley and Bosworth,5,Not answered,5532,5.890244681530697,5.890244681530697,East Midlands,3144,113643,2.7665584329875132,East Midlands,Predominantly Rural
E07000133,Melton,5,Not answered,2657,6.187271499429476,6.187271499429476,East Midlands,1441,51758,2.7841106688821053,East Midlands,Predominantly Rural
E07000134,North West Leicestershire,5,Not answered,5223,6.061625950211803,6.061625950211803,East Midlands,3044,104704,2.9072432762836184,East Midlands,Predominantly Rural
E07000135,Oadby and Wigston,5,Not answered,3682,7.79919508578691,7.79919508578691,East Midlands,5655,57742,9.793564476464272,East Midlands,Predominantly Urban
E07000136,Boston,5,Not answered,5581,9.691928313420394,9.691928313420394,East Midlands,14173,70504,20.102405537274482,East Midlands,Urban with Significant Rural
E07000137,East Lindsey,5,Not answered,9596,7.903276285229538,7.903276285229538,East Midlands,2089,142296,1.4680665654691627,East Midlands,Predominantly Rural
E07000138,Lincoln,5,Not answered,7764,8.917168190379932,8.917168190379932,East Midlands,9843,103816,9.481197503275025,East Midlands,Predominantly Urban
E07000139,North Kesteven,5,Not answered,6290,6.417385094118247,6.417385094118247,East Midlands,2306,118075,1.952995977133178,East Midlands,Predominantly Rural
E07000140,South Holland,5,Not answered,6911,8.748433484815878,8.748433484815878,East Midlands,10400,95131,10.932293363887693,East Midlands,Predominantly Rural
E07000141,South Kesteven,5,Not answered,7722,6.5434578132546966,6.5434578132546966,East Midlands,5982,143404,4.171431759225684,East Midlands,Predominantly Rural
E07000142,West Lindsey,5,Not answered,5122,6.473874465987513,6.473874465987513,East Midlands,1460,95154,1.5343548353195873,East Midlands,Predominantly Rural
E07000143,Breckland,5,Not answered,8790,7.458507280317686,7.458507280317686,East of England,8724,141479,6.166286162610706,East of England,Predominantly Rural
E07000144,Broadland,5,Not answered,7111,6.435119408522845,6.435119408522845,East of England,2445,131721,1.8561960507436173,East of England,Urban with Significant Rural
E07000145,Great Yarmouth,5,Not answered,6450,7.797483045007797,7.797483045007797,East of England,6128,99742,6.143851135930701,East of England,Urban with Significant Rural
E07000146,King's Lynn and West Norfolk,5,Not answered,9904,7.68395245632002,7.68395245632002,East of England,8642,154329,5.599725262264383,East of England,Predominantly Rural
E07000147,North Norfolk,5,Not answered,7276,8.161983285658197,8.161983285658197,East of England,1317,102982,1.2788642675419004,East of England,Predominantly Rural
E07000148,Norwich,5,Not answered,10443,8.64751620943501,8.64751620943501,East of England,14048,143925,9.76063922181692,East of England,Predominantly Urban
E07000149,South Norfolk,5,Not answered,7687,6.557810593845708,6.557810593845708,East of England,3550,141943,2.5010039241103823,East of England,Predominantly Rural
E07000163,Craven,5,Not answered,3171,6.5673929251926095,6.5673929251926095,Yorkshire and The Humber,903,56927,1.5862420292655506,Yorkshire and The Humber,Predominantly Rural
E07000164,Hambleton,5,Not answered,4794,6.227268003741037,6.227268003741037,Yorkshire and The Humber,1338,90689,1.4753718753101257,Yorkshire and The Humber,Predominantly Rural
E07000165,Harrogate,5,Not answered,9376,6.929580795837522,6.929580795837522,Yorkshire and The Humber,5030,162667,3.0922067782647984,Yorkshire and The Humber,Urban with Significant Rural
E07000166,Richmondshire,5,Not answered,2436,5.836128413991375,5.836128413991375,Yorkshire and The Humber,1591,49781,3.1959984733131117,Yorkshire and The Humber,Predominantly Rural
E07000167,Ryedale,5,Not answered,3242,6.998532078404283,6.998532078404283,Yorkshire and The Humber,1160,54709,2.1203092726973622,Yorkshire and The Humber,Predominantly Rural
E07000168,Scarborough,5,Not answered,6671,7.242348905125338,7.242348905125338,Yorkshire and The Humber,3162,108734,2.908014052642228,Yorkshire and The Humber,Urban with Significant Rural
E07000169,Selby,5,Not answered,4339,5.752200657545869,5.752200657545869,Yorkshire and The Humber,2515,91989,2.734022546173999,Yorkshire and The Humber,Predominantly Rural
E07000170,Ashfield,5,Not answered,6964,6.7714866349678635,6.7714866349678635,East Midlands,3944,126308,3.122525889096494,East Midlands,Predominantly Urban
E07000171,Bassetlaw,5,Not answered,6314,6.484743290848029,6.484743290848029,East Midlands,4756,117807,4.037111546852055,East Midlands,Predominantly Rural
E07000172,Broxtowe,5,Not answered,6166,6.66306462070456,6.66306462070456,East Midlands,5358,110944,4.829463513123738,East Midlands,Predominantly Urban
E07000173,Gedling,5,Not answered,5923,6.140432722711204,6.140432722711204,East Midlands,3691,117260,3.147705952584001,East Midlands,Predominantly Urban
E07000174,Mansfield,5,Not answered,5794,6.425640456914716,6.425640456914716,East Midlands,8328,110483,7.537811246979173,East Midlands,Predominantly Urban
E07000175,Newark and Sherwood,5,Not answered,6532,6.405931272556097,6.405931272556097,East Midlands,4890,122953,3.977129472237359,East Midlands,Predominantly Rural
E07000176,Rushcliffe,5,Not answered,5972,6.11115090613264,6.11115090613264,East Midlands,3503,119079,2.941744556135003,East Midlands,Predominantly Rural
E07000177,Cherwell,5,Not answered,8879,6.799194419131779,6.799194419131779,South East,14425,161022,8.958403199562792,South East,Urban with Significant Rural
E07000178,Oxford,5,Not answered,17411,12.735065865985943,12.735065865985943,South East,28608,162041,17.65479107139551,South East,Predominantly Urban
E07000179,South Oxfordshire,5,Not answered,7948,6.541886842148584,6.541886842148584,South East,6930,149087,4.648292607672031,South East,Predominantly Rural
E07000180,Vale of White Horse,5,Not answered,7470,6.6443114198546604,6.6443114198546604,South East,7484,138913,5.387544722236219,South East,Predominantly Rural
E07000181,West Oxfordshire,5,Not answered,5591,5.95998251766888,5.95998251766888,South East,4046,114235,3.5418216833719964,South East,Predominantly Rural
E07000187,Mendip,5,Not answered,7689,8.005122278789393,8.005122278789393,South West,3187,116091,2.745260183821313,South West,Predominantly Rural
E07000188,Sedgemoor,5,Not answered,7560,7.284570393424615,7.284570393424615,South West,5742,125347,4.580883467494236,South West,Predominantly Rural
E07000189,South Somerset,5,Not answered,10655,7.408978388451589,7.408978388451589,South West,7110,172671,4.11765727887138,South West,Predominantly Rural
E07000192,Cannock Chase,5,Not answered,4464,5.412352384878392,5.412352384878392,West Midlands,1722,100519,1.7131089644743782,West Midlands,Urban with Significant Rural
E07000193,East Staffordshire,5,Not answered,7224,7.187416052293824,7.187416052293824,West Midlands,11977,124023,9.657079735210404,West Midlands,Urban with Significant Rural
E07000194,Lichfield,5,Not answered,4738,5.347871235721703,5.347871235721703,West Midlands,2125,106435,1.9965236999107436,West Midlands,Urban with Significant Rural
